C891,AA,Projeto Criosfera 
A108,AC,Cruzeiro do Sul 
A140,AC,Epitaciolândia 
A138,AC,Feijó 
A137,AC,Marechal Thaumaturgo 
A102,AC,Parque Estadual Chandless 
A136,AC,Porto Walter 
A104,AC,Rio Branco 
A353,AL,Arapiraca 
A355,AL,Coruripe 
A303,AL,Maceió 
A327,AL,Palmeira dos Índios 
A323,AL,Pão de Açucar 
A371,AL,Piranhas 
A356,AL,São Luis do Quitunde 
A113,AM,Apui 
A120,AM,Autazes 
A128,AM,Barcelos 
A110,AM,Boca do Acre 
A117,AM,Coari 
A109,AM,Eirunepé 
A112,AM,Humaitá 
A121,AM,Itacoatiara 
A111,AM,Lábrea 
A119,AM,Manacapuru 
A101,AM,Manaus 
A133,AM,Manicore 
A122,AM,Maués 
A123,AM,Parintins 
A126,AM,Presidente Figueiredo 
A125,AM,Rio Urubu 
A134,AM,São Gabriel da Cachoeira 
A124,AM,Urucará 
A251,AP,Itaubal 
A249,AP,Macapá 
A242,AP,Oiapoque 
A243,AP,Tartarugalzinho 
A422,BA,Abrolhos 
A434,BA,Amargosa 
A429,BA,Barra 
A402,BA,Barreiras 
A447,BA,Belmonte 
A418,BA,Bom Jesus da Lapa 
A433,BA,Brumado 
A432,BA,Buritirama 
A405,BA,Caravelas 
A431,BA,Conde 
A416,BA,Correntina 
A406,BA,Cruz das Almas 
A448,BA,Curaçá 
A443,BA,Delfino 
A442,BA,Euclides da Cunha 
A413,BA,Feira de Santana 
A452,BA,Formosa do Rio Preto 
A426,BA,Guanambi 
A439,BA,Ibotirama 
A410,BA,Ilhéus 
A445,BA,Ipiaú 
A424,BA,Irecê 
A408,BA,Itaberaba 
A455,BA,Itamaraju 
A446,BA,Itapetinga 
A407,BA,Itiruçu 
A440,BA,Jacobina 
A450,BA,Jeremoabo 
A425,BA,Lençóis 
A404,BA,Luis Eduardo Magalhaes 
A412,BA,Macajuba 
A454,BA,Macaúbas 
A438,BA,Maraú 
A430,BA,Piatã 
A449,BA,Pilão Arcado 
A427,BA,Porto Seguro 
A436,BA,Queimadas 
A423,BA,Remanso 
A401,BA,Salvador 
A456,BA,Salvador-Est. Rádio Marinha 
A415,BA,Santa Rita de Cássia 
A428,BA,Senhor do Bonfim 
A441,BA,Serrinha 
A435,BA,Uauá 
A437,BA,Una 
A444,BA,Valença 
A414,BA,Vitória da Conquista 
A360,CE,Acaraú 
A315,CE,Barbalha 
A347,CE,Campos Sales 
A342,CE,Crateús 
A305,CE,Fortaleza 
A314,CE,Guaramiranga 
A319,CE,Iguatu 
A359,CE,Itapipoca 
A358,CE,Jaguaribe 
A339,CE,Jaguaruana 
A332,CE,Morada Nova 
A369,CE,Quixadá 
A325,CE,Quixeramobim 
A306,CE,Sobral 
A324,CE,Tauá 
A368,CE,Tianguá 
A045,DF,Águas Emendadas 
A001,DF,Brasília 
A042,DF,Brazlândia 
A047,DF,Paranoá (COOPA) 
A657,ES,Afonso Cláudio 
A617,ES,Alegre 
A615,ES,Alfredo Chaves 
A631,ES,Ecoporanga 
A614,ES,Linhares 
A632,ES,Marilândia 
A623,ES,Nova Venécia 
A622,ES,Presidente Kennedy 
A613,ES,Santa Teresa 
A616,ES,São Mateus 
A633,ES,Venda Nova do Imigrante 
A634,ES,Vila Velha 
A612,ES,Vitória 
A024,GO,Alto Paraíso de Goiás 
A013,GO,Aragarças 
A023,GO,Caiapônia 
A034,GO,Catalão 
A036,GO,Cristalina 
A056,GO,Cristalina-Fazenda Santa Monica 
A029,GO,Edéia 
A046,GO,Gama (Ponte Alta) 
A022,GO,Goianésia 
A002,GO,Goiânia 
A014,GO,Goiás 
A028,GO,Iporá 
A015,GO,Itapaci 
A035,GO,Itumbiara 
A016,GO,Jataí 
A012,GO,Luziânia 
A026,GO,Mineiros 
A032,GO,Monte Alegre de Goiás 
A003,GO,Morrinhos 
A004,GO,Niquelândia 
A027,GO,Paraúna 
A033,GO,Pires do Rio 
A017,GO,Posse 
A025,GO,Rio Verde 
A031,GO,São Miguel do Araguaia 
A011,GO,São Simão 
A037,GO,Silvânia 
A223,MA,Alto Parnaíba 
A220,MA,Bacabal 
A204,MA,Balsas 
A221,MA,Barra do Corda 
A238,MA,Buriticupu 
A205,MA,Carolina 
A206,MA,Chapadinha 
A222,MA,Colinas 
A224,MA,Estreito 
A218,MA,Farol Preguiças 
A217,MA,Farol Santana 
A207,MA,Grajaú 
A225,MA,Imperatriz 
A203,MA,São Luís 
A219,MA,Turiaçu 
A549,MG,Águas Vermelhas 
A534,MG,Aimorés 
A508,MG,Almenara 
A566,MG,Araçuaí 
A505,MG,Araxá 
A565,MG,Bambuí 
A502,MG,Barbacena 
F501,MG,Belo Horizonte,Cercadinho 
A521,MG,Belo Horizonte,Pampulha 
A544,MG,Buritis 
A530,MG,Caldas 
A519,MG,Campina Verde 
A541,MG,Capelinha 
A554,MG,Caratinga 
A548,MG,Chapada Gaúcha 
A520,MG,Conceição das Alagoas 
A557,MG,Coronel Pacheco 
A538,MG,Curvelo 
A537,MG,Diamantina 
A564,MG,Divinópolis 
A536,MG,Dores do Indaiá 
A543,MG,Espinosa 
A535,MG,Florestal 
A524,MG,Formiga 
A532,MG,Governador Valadares 
A533,MG,Guanhães 
A546,MG,Guarda-Mor 
A555,MG,Ibirité (Rola Moça) 
A550,MG,Itaobim 
A512,MG,Ituiutaba 
A563,MG,Janaúba 
A559,MG,Januária 
A553,MG,João Pinheiro 
A518,MG,Juiz de Fora 
A567,MG,Machado 
A556,MG,Manhuaçu 
A540,MG,Mantena 
A531,MG,Maria da Fé 
A539,MG,Mocambinho 
A526,MG,Montalvânia 
A506,MG,Montes Claros 
A509,MG,Monte Verde 
A517,MG,Muriaé 
A570,MG,Oliveira 
A513,MG,Ouro Branco 
A571,MG,Paracatu 
A529,MG,Passa Quatro 
A516,MG,Passos 
A562,MG,Patos de Minas 
A523,MG,Patrocíonio 
A545,MG,Pirapora 
A560,MG,Pompéu 
A551,MG,Rio Pardo de Minas 
A525,MG,Sacramento 
A552,MG,Salinas 
