stationName,stationCode,latitude,longitude,altitude,launchDate,url
CruzeirodoSul,A108,-7.610773,-72.681333,220,14/05/2015,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEwOA==
Epitaciolândia,A140,-11.023752,-68.735180,225,25/09/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTE0MA==
Feijó,A138,-8.142654,-70.343594,157,24/09/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEzOA==
MarechalThaumaturgo,A137,-8.950008,-72.786778,221,27/10/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEzNw==
ParqueEstadualChandless,A102,-9.358353,-69.926257,185,05/08/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEwMg==
PortoWalter,A136,-8.267197,-72.747838,205,29/10/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEzNg==
RioBranco,A104,-9.957844,-68.165169,224,11/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEwNA==
Arapiraca,A353,-9.804551,-36.619198,237,27/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM1Mw==
Coruripe,A355,-10.128482,-36.286348,82,06/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM1NQ==
Maceió,A303,-9.551168,-35.770195,84,25/02/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMwMw==
PalmeiradosÍndios,A327,-9.420334,-36.620371,278,11/07/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMyNw==
PãodeAçucar,A323,-9.749220,-37.430765,21,14/07/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTMyMw==
Piranhas,A371,-9.622261,-37.767113,187,20/09/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM3MQ==
SãoLuisdoQuitunde,A356,-9.287481,-35.565878,14,08/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTM1Ng==
Apui,A113,-7.205475,-59.888561,157,19/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTExMw==
Autazes,A120,-3.583333,-59.12944,20,17/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEyMA==
Barcelos,A128,-0.987292,-62.924251,30,19/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEyOA==
BocadoAcre,A110,-8.776804,-67.332557,112,15/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTExMA==
Coari,A117,-4.097483,-63.145322,34,12/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTExNw==
Eirunepé,A109,-6.650301,-69.868610,122,31/08/2012,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEwOQ==
Humaitá,A112,-7.552520,-63.071343,54,25/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTExMg==
Itacoatiara,A121,-3.133333,-58.48278,42,17/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEyMQ==
Lábrea,A111,-7.260681,-64.788501,62,27/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTExMQ==
Manacapuru,A119,-3.294638,-60.628402,37,10/04/2004,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTExOQ==
Manaus,A101,-3.103682,-60.015461,49,09/05/2000,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEwMQ==
Manicore,A133,-5.788533,-61.288276,41,12/12/2011,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEzMw==
Maués,A122,-3.399010,-57.673772,25,22/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEyMg==
Parintins,A123,-2.639152,-56.756177,19,10/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEyMw==
PresidenteFigueiredo,A126,-2.056558,-60.025756,61,19/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEyNg==
RioUrubu,A125,-2.633654,-59.600582,113,26/06/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEyNQ==
